date,available,total,average_price
2023-02-04,f,19161,262.2261
2022-12-26,f,19390,262.1631
2023-02-16,f,19186,262.1200
2023-02-26,f,19183,262.0525
2022-08-05,f,15544,261.7584
2023-01-21,f,19215,261.6689
2023-01-28,f,19190,261.6531
2023-02-03,f,19167,261.6209
2022-12-28,f,19385,261.6124
2022-07-30,f,15909,261.5165
2023-02-20,f,19184,261.4117
2023-02-09,f,19181,261.4086
2023-01-27,f,19188,261.3597
2023-03-02,f,19141,261.2876
2023-01-14,f,19220,261.2078
2022-12-27,f,19371,261.1648
2023-01-20,f,19209,261.1147
2023-01-13,f,19221,260.9653
2023-03-05,f,19129,260.8534
2023-02-28,f,19169,260.6395
2022-12-17,f,19237,260.6158
2023-02-22,f,19176,260.5607
2023-03-06,f,19130,260.5254
2023-02-15,f,19190,260.4805
2023-03-01,f,19146,260.2533
2023-02-21,f,19175,260.2459
2022-08-06,f,15489,260.1965
2023-02-14,f,19191,260.1529
2023-02-27,f,19185,260.1035
2022-07-29,f,15993,259.9601
2023-01-03,f,19311,259.9512
2022-12-16,f,19235,259.6829
2022-12-03,f,19328,259.3173
2022-07-23,f,16041,259.1933
2022-07-02,f,16670,259.1763
2023-02-08,f,19161,259.0492
2023-02-06,f,19166,258.9533
2022-03-19,f,16916,258.8606
2023-02-07,f,19162,258.7253
2022-03-26,f,15084,258.2667
2022-12-10,f,19222,258.1363
2023-01-05,f,19273,258.0349
2022-03-18,f,17046,257.8745
2023-01-04,f,19283,257.8352
2022-07-22,f,16057,257.8328
2022-12-09,f,19226,257.7911
2022-05-13,f,15676,257.5963
2022-12-22,f,19305,257.5283
2022-05-14,f,15695,257.3899
2022-11-25,f,18244,257.1937
2022-10-08,f,18287,256.7955
2022-03-12,f,18269,256.7283
2022-03-25,f,15321,256.6681
2022-07-16,f,16124,256.6128
2022-12-02,f,18429,256.3494
2022-07-01,f,16593,256.2503
2022-07-15,f,16151,256.0045
2023-01-08,f,19252,255.9794
2022-09-03,f,15176,255.8647
2022-10-07,f,18276,255.8495
2022-11-26,f,18213,255.7566
2022-07-09,f,16173,255.4310
2022-05-28,f,14191,255.1973
2022-08-13,f,15225,255.1634
2022-12-21,f,19288,255.1484
2022-08-12,f,15275,255.0369
2022-09-02,f,14515,254.9574
2022-08-20,f,14949,254.7511
2023-01-09,f,19254,254.6319
2022-11-05,f,18212,254.5800
2022-10-14,f,18269,254.4392
2022-06-11,f,16685,254.3893
2022-11-04,f,18227,254.3815
2022-07-08,f,16166,254.3612
2022-10-15,f,18257,254.3521
2022-08-19,f,14997,254.2627
2022-05-27,f,14086,254.1953
2022-11-19,f,18178,254.1682
2022-12-20,f,19254,254.1611
2022-09-17,f,18298,254.1213
2022-09-24,f,18231,254.0991
2023-02-05,f,19160,253.9888
2022-11-11,f,18179,253.9008
2023-01-22,f,19204,253.8397
2022-09-16,f,18311,253.8381
2023-01-12,f,19230,253.7905
2023-01-26,f,19187,253.6928
2023-02-02,f,19172,253.6840
2022-09-23,f,18245,253.6702
2022-10-01,f,18276,253.6285
